sample_idx,predicted_class,original_prediction,baseline_prediction,r2_mean,method,deletion_auc,insertion_auc,gap_auc,n_positive_segments
48,1,0.9999998807907104,0.0084176491945981,-0.8777111710197187,Relevancia a secas,0.125114067403527,0.9584502435754984,0.8333361761719714,
48,1,0.9999998807907104,0.0084176491945981,-0.8777111710197187,Relevancia absoluta,0.5906239839315313,0.5306898362178061,-0.0599341477137251,
48,1,0.9999998807907104,0.0084176491945981,-0.8777111710197187,Solo secciones positivas,0.0277777744664501,0.9169004902554057,0.8891227157889554,18.0
49,0,0.1032646894454956,0.0084176491945981,-0.817575813951876,Relevancia a secas,0.853193312831637,0.6321600332584013,-0.2210332795732357,
49,0,0.1032646894454956,0.0084176491945981,-0.817575813951876,Relevancia absoluta,0.7082175847867298,0.7251525167375803,0.0169349319508504,
49,0,0.1032646894454956,0.0084176491945981,-0.817575813951876,Solo secciones positivas,0.9618216639473324,0.5523109539876714,-0.4095107099596611,21.0
50,1,0.9999622106552124,0.0084176491945981,-0.3618207390749149,Relevancia a secas,0.3890936899960653,0.9860298054085838,0.5969361154125183,
50,1,0.9999622106552124,0.0084176491945981,-0.3618207390749149,Relevancia absoluta,0.4073507996899863,0.9861747374137242,0.5788239377237379,
50,1,0.9999622106552124,0.0084176491945981,-0.3618207390749149,Solo secciones positivas,0.0312523030681176,0.969013050198555,0.9377607471304372,16.0
51,0,0.2329295426607132,0.0084176491945981,-0.5862719877400531,Relevancia a secas,0.9047969611258142,0.2401187199188075,-0.6646782412070067,
51,0,0.2329295426607132,0.0084176491945981,-0.5862719877400531,Relevancia absoluta,0.7822601022716197,0.2131217394256737,-0.569138362845946,
51,0,0.2329295426607132,0.0084176491945981,-0.5862719877400531,Solo secciones positivas,0.978692458735572,0.0004425300664641,-0.9782499286691078,18.0
52,1,1.0,0.0084176491945981,-0.3997237010819551,Relevancia a secas,0.2287953233620093,0.9310044291196392,0.7022091057576298,
52,1,1.0,0.0084176491945981,-0.3997237010819551,Relevancia absoluta,0.5605465994756387,0.9310039887075416,0.3704573892319028,
52,1,1.0,0.0084176491945981,-0.3997237010819551,Solo secciones positivas,0.1041666666666666,0.8965066436794586,0.792339977012792,24.0
53,0,0.2242033332586288,0.0084176491945981,-0.7102365504945058,Relevancia a secas,0.6721499260424431,0.2443540441705004,-0.4277958818719426,
53,0,0.2242033332586288,0.0084176491945981,-0.7102365504945058,Relevancia absoluta,0.0264084030671117,0.3956352580571547,0.369226854990043,
53,0,0.2242033332586288,0.0084176491945981,-0.7102365504945058,Solo secciones positivas,0.8976262632538291,0.0016773245421491,-0.8959489387116799,17.0
54,0,0.0080090947449207,0.0084176491945981,0.3376735245776673,Relevancia a secas,0.0155924331500298,0.0067470551132121,-0.0088453780368177,
54,0,0.0080090947449207,0.0084176491945981,0.3376735245776673,Relevancia absoluta,0.0094099705004029,0.0076054254701981,-0.0018045450302047,
54,0,0.0080090947449207,0.0084176491945981,0.3376735245776673,Solo secciones positivas,0.0221999599908789,0.0059068032850821,-0.0162931567057967,15.0
55,1,0.9999998807907104,0.0084176491945981,-0.5894890006847227,Relevancia a secas,0.2310194132900917,0.7642956326534558,0.533276219363364,
55,1,0.9999998807907104,0.0084176491945981,-0.5894890006847227,Relevancia absoluta,0.8796293474038082,0.6055408052404904,-0.2740885421633178,
55,1,0.9999998807907104,0.0084176491945981,-0.5894890006847227,Solo secciones positivas,0.2479827468742827,0.7361546684089049,0.4881719215346221,17.0
56,0,0.0310380365699529,0.0084176491945981,-0.9483358912557392,Relevancia a secas,0.3763889111319763,0.1524642246107659,-0.2239246865212104,
56,0,0.0310380365699529,0.0084176491945981,-0.9483358912557392,Relevancia absoluta,0.0598052180139347,0.0891314840151204,0.0293262660011856,
56,0,0.0310380365699529,0.0084176491945981,-0.9483358912557392,Solo secciones positivas,0.366375849386187,0.0495968425067602,-0.3167790068794267,19.0
57,0,0.0082065416499972,0.0084176491945981,0.0254766872003541,Relevancia a secas,0.0087283209173215,0.008165790595942,-0.0005625303213795,
57,0,0.0082065416499972,0.0084176491945981,0.0254766872003541,Relevancia absoluta,0.0086538163789858,0.0081773579068895,-0.0004764584720962,
57,0,0.0082065416499972,0.0084176491945981,0.0254766872003541,Solo secciones positivas,0.0088632873569925,0.0081329305345813,-0.0007303568224112,3.0
58,1,0.9999885559082032,0.0084176491945981,-0.4878044851039593,Relevancia a secas,0.4982735967525673,0.9636311299271056,0.4653575331745382,
58,1,0.9999885559082032,0.0084176491945981,-0.4878044851039593,Relevancia absoluta,0.7132728173761285,0.6753771413362755,-0.037895676039853,
58,1,0.9999885559082032,0.0084176491945981,-0.4878044851039593,Solo secciones positivas,0.0454540256622778,0.95492807301608,0.909474047353802,11.0
59,0,0.0142023628577589,0.0084176491945981,-0.759827855845111,Relevancia a secas,0.5626347593963147,0.0638358391517873,-0.4987989202445274,
59,0,0.0142023628577589,0.0084176491945981,-0.759827855845111,Relevancia absoluta,0.5015428643939751,0.5555464856858764,0.0540036212919012,
59,0,0.0142023628577589,0.0084176491945981,-0.759827855845111,Solo secciones positivas,0.8800267547369003,0.0127570351636677,-0.8672697195732325,20.0
60,1,0.9999587535858154,0.0084176491945981,-0.4044574448021244,Relevancia a secas,0.3782771165253769,0.9127817009176526,0.5345045843922758,
60,1,0.9999587535858154,0.0084176491945981,-0.4044574448021244,Relevancia absoluta,0.7652932206967048,0.98081328528268,0.2155200645859751,
