sample_idx,original_prediction,baseline_prediction,predicted_class,r2_mean,r2_std,deletion_auc_abs,insertion_auc_abs,gap_auc_abs,deletion_auc_positive_first,insertion_auc_positive_first,gap_auc_positive_first,n_segments,n_positive_segments,error
59,0.0142023628577589,0.0084176491945981,0,-0.759827855845111,0.5865957771818953,0.5015428643939751,0.5555464856858764,0.0540036212919012,0.5626347593963147,0.0638358391517873,-0.4987989202445274,35,20,
60,0.9999587535858154,0.0084176491945981,1,-0.4044574448021244,0.4429373102108508,0.7652932206967048,0.98081328528268,0.2155200645859751,0.3782771165253769,0.9127817009176526,0.5345045843922758,35,14,
61,1.0,0.0084176491945981,1,-0.5241936384325367,0.3984430404063596,0.323382532636435,0.852606294637876,0.5292237620014408,0.1069564060640521,0.9862280189990996,0.8792716129350476,36,17,
62,0.4637811481952667,0.0084176491945981,0,-9.331738210979264,18.44466784560787,0.6915862356933457,0.9502398216734744,0.2586535859801289,0.7834239853546024,0.4821686613528678,-0.3012553240017346,36,18,
63,0.009203128516674,0.0084176491945981,0,-1.1750546664299613,1.2350799329227855,0.0143034294144146,0.0089269317169156,-0.005376497697499,0.0211230527299145,0.0155160384925289,-0.0056070142373856,36,20,
64,1.0,0.0084176491945981,1,-0.1812585521025687,0.5767281850074595,0.6926490670310966,0.9862245486842262,0.2935754816531295,0.0640947442685042,0.9862279560830858,0.9221332118145816,36,18,
65,0.9999990463256836,0.0084176491945981,1,-0.2857676236371306,0.4399628656287332,0.1254544554718818,0.4040049501705139,0.2785504946986321,0.2975596152616427,0.8094445676237237,0.511884952362081,36,20,
66,0.0363176390528678,0.0084176491945981,0,-18.172621044381305,32.017022056761625,0.9179646302945912,0.8663436983608536,-0.0516209319337376,0.935422541366683,0.857542602552308,-0.077879938814375,36,17,
67,1.0,0.0084176491945981,1,-1.0467999001611044,0.8415876735324261,0.5195100017022822,0.7342857774455527,0.2147757757432704,0.2908907399462946,0.9617880202001996,0.670897280253905,36,22,
68,1.0,0.0084176491945981,1,-0.8840929441101583,0.3621266047516499,0.315766002623557,0.6387514149149269,0.3229854122913699,0.4335267416150922,0.9721878742178282,0.538661132602736,36,15,
69,0.9994551539421082,0.0084176491945981,1,-0.8488861306124275,0.9076376038009252,0.47285695046386,0.9193669259548188,0.4465099754909586,0.0325912452721335,0.9824223084109168,0.9498310631387834,35,17,
70,0.1668419539928436,0.0084176491945981,0,-0.8020227296377236,0.5492768017800371,0.6164525229897765,0.8049646326237255,0.188512109633949,0.8565439159671465,0.5196607385820597,-0.3368831773850868,36,19,
71,1.0,0.0084176491945981,1,-0.8815584504198277,0.5718140004687328,0.8323111732283403,0.4876513189867006,-0.3446598542416396,0.7613568481481512,0.9025572228985344,0.1412003747503831,36,17,
72,0.6083120107650757,0.0084176491945981,1,-0.6930179264076666,0.3747803583929809,0.6870475648769311,0.6673948837178095,-0.0196526811591215,0.292767010350368,0.9319479508059366,0.6391809404555686,35,19,
73,0.0109463883563876,0.0084176491945981,0,0.0039263800488251,0.568308034388477,0.0097681125108566,0.0185019134595576,0.0087338009487009,0.0500654670823779,0.0068601374126349,-0.0432053296697429,36,22,
74,0.0096705500036478,0.0084176491945981,0,0.1157404045038817,0.1212605696269463,0.0112223975463873,0.0087475802930485,-0.0024748172533387,0.0142200071519861,0.007393494545896,-0.0068265126060901,36,15,
75,0.0093504292890429,0.0084176491945981,0,-0.9483824459724104,0.7873613220170906,0.4463544805896365,0.5346476356240197,0.0882931550343832,0.6550507225199707,0.6531158737165648,-0.0019348488034058,36,18,
76,0.0080890115350484,0.0084176491945981,0,-0.7714490762096521,1.21053943748293,0.0091772995527005,0.0098312062521775,0.0006539066994769,0.0176260537053975,0.0094305705020411,-0.0081954832033564,36,21,
77,0.0081169651821255,0.0084176491945981,0,-1.1048387544898,0.5265877512935728,0.0089670377783477,0.0109438635408878,0.0019768257625401,0.1589927316462207,0.0218951524131827,-0.1370975792330379,36,21,
78,0.9999996423721312,0.0084176491945981,1,-0.5838704485463218,0.4187825800425266,0.2415298718661263,0.6528672104888328,0.4113373386227065,0.1704355582777875,0.8742167332876282,0.7037811750098406,36,22,
79,0.0077892066910862,0.0084176491945981,0,0.1486052711594818,0.1425333033462791,0.0085474374290141,0.0078474364191707,-0.0007000010098434,0.0086042753989911,0.0078231414469579,-0.0007811339520331,36,3,
80,0.0082461759448051,0.0084176491945981,0,0.3260866696728378,0.082624433738139,0.0085614450896779,0.0083564491942524,-0.0002049958954254,0.0086949078055719,0.0081490759297998,-0.0005458318757721,36,4,
81,0.99554044008255,0.0084176491945981,1,-1.2700075069927743,0.8536478472851491,0.7576533205683519,0.9739691673053638,0.2163158467370118,0.3048663024130892,0.9768593452043004,0.6719930427912113,36,15,
82,0.0092602232471108,0.0084176491945981,0,0.3748421889755959,0.2121724513608227,0.0090850569669985,0.0098011292672405,0.000716072300242,0.0139952558868875,0.0069178272193918,-0.0070774286674956,36,18,
83,0.0079226279631257,0.0084176491945981,0,0.3743498098290669,0.159149470128263,0.009139788750973,0.0079947952957202,-0.0011449934552527,0.0093021322455671,0.0079560501682054,-0.0013460820773616,36,5,
84,0.1120656430721283,0.0084176491945981,0,-0.7092629002840622,0.2011591782715184,0.6351799084287552,0.6404312193238486,0.0052513108950934,0.7710899166348907,0.1505478914687046,-0.6205420251661861,36,17,
85,0.0087655046954751,0.0084176491945981,0,0.5243284752437226,0.1911386651066087,0.0089077704534348,0.0091559984333192,0.0002482279798843,0.0094773832501636,0.0084302495233714,-0.0010471337267922,36,8,
86,0.968100905418396,0.0084176491945981,1,-8.67441380729557,18.02913957404439,0.8366308776506534,0.901073927439736,0.0644430497890827,0.5897241437079699,0.9567079927979244,0.3669838490899544,36,14,
87,0.0077619273215532,0.0084176491945981,0,0.1896848905290827,0.1696146911885845,0.0085373362267596,0.0083483130308902,-0.0001890231958693,0.0086628787685185,0.0082352199695176,-0.0004276587990009,36,4,
88,0.0203956868499517,0.0084176491945981,0,-0.7529547598076981,0.5679624420618518,0.6914438424476732,0.6096513229939672,-0.081792519453706,0.7580045734066516,0.0907022171462207,-0.6673023562604309,36,14,
89,0.0091119362041354,0.0084176491945981,0,0.3094362657879045,0.2643901087660296,0.0087105873196075,0.0093836777377873,0.0006730904181798,0.0103108053250859,0.0087956763001986,-0.0015151290248872,36,8,
90,0.1036141142249107,0.0084176491945981,0,-0.4466206552559258,0.7232882948186973,0.1763393399564342,0.4485148440580814,0.2721755041016472,0.4549733090292042,0.4162451655314403,-0.0387281434977638,36,10,
91,0.995964765548706,0.0084176491945981,1,-0.83162071296666,1.19275784910388,0.9421540607831308,0.9427190391878996,0.0005649784047689,0.4716241514137771,0.9855714712824142,0.5139473198686371,35,20,
92,1.0,0.0084176491945981,1,-1.3003981233164326,1.014853585485954,0.8743517726709088,0.3851622738141783,-0.4891894988567304,0.2404162616596276,0.7666454368801903,0.5262291752205626,36,20,
93,0.8962198495864868,0.0084176491945981,1,-0.3526899372452973,0.6492550122639938,0.2617888025288253,0.9748610224988724,0.7130722199700472,0.1038338396490487,0.979840730627378,0.8760068909783292,36,15,
94,0.9999947547912598,0.0084176491945981,1,-0.9351370305022751,0.7378486975098644,0.5897906883358354,0.9254471827300204,0.335656494394185,0.1236991713975787,0.9269918954184956,0.8032927240209167,36,17,
95,0.0158417411148548,0.0084176491945981,0,-1.0039600944687563,0.8091420167763873,0.0104274600485546,0.0168447343425618,0.0064172742940071,0.0660643343968937,0.0098778865455339,-0.0561864478513598,36,16,
96,1.0,0.0084176491945981,1,-0.5083320743304476,0.7405243008007618,0.6840232914805205,0.4087405891702423,-0.2752827023102782,0.6523295152573703,0.5877110644808757,-0.0646184507764945,36,19,
97,0.0094889672473073,0.0084176491945981,0,-0.772953492291586,0.5213461560777306,0.2752356740853025,0.3097576991034051,0.0345220250181025,0.659239436396294,0.2021233618461722,-0.4571160745501217,36,22,
98,0.0090689621865749,0.0084176491945981,0,-6.362703976125208,10.577901101199576,0.0165634441655129,0.0137708423038323,-0.0027926018616805,0.4020643147329489,0.0082968973577711,-0.3937674173751778,36,21,
99,0.8330156803131104,0.0084176491945981,1,-0.5446945395270195,0.334227495244934,0.1443156974098909,0.4806869289863648,0.336371231576474,0.2360464959408931,0.851693428742389,0.6156469328014958,36,19,
100,0.0088407760486006,0.0084176491945981,0,-0.701725067388409,0.3611030902756125,0.0258477558769906,0.0385405730404373,0.0126928171634467,0.5962240394049635,0.2966005629859864,-0.2996234764189771,36,23,
101,0.0108310133218765,0.0084176491945981,0,-0.662302526894256,0.5078416394380957,0.5648852712992165,0.3682253611687984,-0.196659910130418,0.7017331746044674,0.1129905007029366,-0.5887426739015307,36,19,
102,0.0074340249411761,0.0084176491945981,0,-53.71686509949228,110.70592124108065,0.0136942782620381,0.0141319752696694,0.0004376970076312,0.2692959089763462,0.0272961639307646,-0.2419997450455816,36,21,
